shoulder_pan_angle,shoulder_lift_angle,elbow_angle,wrist1_angle,wrist2_angle,wrist3_angle
1.6485120058059692,-1.634130140344137,-1.6632037162780762,-1.5353830245188256,1.6199060678482056,-0.04317361513246709
1.6488595008850098,-1.6342607937254847,-1.6626230478286743,-1.5353907097927113,1.6198722124099731,-0.04314929643739873
1.6491833925247192,-1.6343499622740687,-1.6620800495147705,-1.5354431432536622,1.6199910640716553,-0.04306155840028936
1.649389386177063,-1.6344715557494105,-1.6616435050964355,-1.5354522702148934,1.619982361793518,-0.04302102724184209
1.6496047973632812,-1.6346098385252894,-1.6612147092819214,-1.5354834359935303,1.6200056076049805,-0.043049160634176076
1.6497037410736084,-1.6346799335875453,-1.6607511043548584,-1.5354986053756257,1.6200133562088013,-0.04301292101015264
1.649845004081726,-1.6347500286498011,-1.6603405475616455,-1.5354913038066407,1.6200618743896484,-0.043001953755513966
1.6499722003936768,-1.6348921261229457,-1.6599204540252686,-1.5354960237494488,1.6200380325317383,-0.04293519655336553
1.6500754356384277,-1.634946962396139,-1.6596953868865967,-1.535515171741583,1.6201181411743164,-0.043015305195943654
1.6502212285995483,-1.6350375614561976,-1.659563422203064,-1.5354987245849152,1.620161533355713,-0.042981926594869435
1.650225281715393,-1.635106702844137,-1.659407615661621,-1.535524183218815,1.6201367378234863,-0.04298383394350225
1.6503677368164062,-1.635094781915182,-1.6592035293579102,-1.5354941871813317,1.6201163530349731,-0.04297000566591436
1.6504744291305542,-1.635099550286764,-1.6590638160705566,-1.5354822923294087,1.6201657056808472,-0.04302102724184209
1.6504323482513428,-1.6350900135436,-1.658915400505066,-1.5355032172850152,1.6201128959655762,-0.04293710390199834
1.650418758392334,-1.6351186237730921,-1.6588358879089355,-1.5355224807611485,1.6201221942901611,-0.04294425645937139
1.6504534482955933,-1.635110994378561,-1.6589372158050537,-1.5355016079596062,1.6200822591781616,-0.0429609457599085
1.6504169702529907,-1.6351305447020472,-1.6589198112487793,-1.5355196271887799,1.6200382709503174,-0.04297191301454717
1.6504921913146973,-1.6351472340025843,-1.6590443849563599,-1.535531536941864,1.619997501373291,-0.043001953755513966
1.650502324104309,-1.6351386509337367,-1.6591557264328003,-1.5354942840388794,1.619985580444336,-0.04302102724184209
1.6506197452545166,-1.635141511956686,-1.6595765352249146,-1.5355151531151314,1.6199617385864258,-0.04304963747133428
1.6513797044754028,-1.6351891956725062,-1.6603447198867798,-1.5355151270380993,1.6200172901153564,-0.04308206239809209
1.6519240140914917,-1.6353985271849574,-1.6607812643051147,-1.5354897950640698,1.6199259757995605,-0.043090168629781544
1.6526985168457031,-1.6355139217772425,-1.6611682176589966,-1.535557099883892,1.6199617385864258,-0.043056790028707326
1.6534688472747803,-1.6354977093138636,-1.6614036560058594,-1.5355225440910836,1.6200584173202515,-0.043007675801412404
1.6546353101730347,-1.6355558834471644,-1.661691665649414,-1.5355003748885174,1.6201850175857544,-0.04280549684633428
1.6558163166046143,-1.6354824505248011,-1.6619001626968384,-1.5353819255581875,1.6204289197921753,-0.042651001607076466
1.6569496393203735,-1.6352225742735804,-1.6620067358016968,-1.5352989000133057,1.6205554008483887,-0.042586628590719044
1.6578965187072754,-1.6348830662169398,-1.662079095840454,-1.5351759877851983,1.6208362579345703,-0.042599026356832326
1.6587703227996826,-1.6343909702696742,-1.6622076034545898,-1.534998969440796,1.6211247444152832,-0.04281932512392217
1.659683346748352,-1.6338802776732386,-1.662283182144165,-1.5348308657160779,1.6214159727096558,-0.04313880601991826
1.6606143712997437,-1.633324762383932,-1.6623908281326294,-1.5347154413214703,1.6218302249908447,-0.0436018149005335
1.6622329950332642,-1.6327597103514613,-1.6627248525619507,-1.5345595118454476,1.622292160987854,-0.044010464345113576
1.6638821363449097,-1.6322523556151332,-1.6630040407180786,-1.534458951359131,1.6226123571395874,-0.04429322877992803
1.6666878461837769,-1.63177551845693,-1.663434624671936,-1.5343836744180699,1.6230711936950684,-0.04466277757753545
1.6704354286193848,-1.6312281093993128,-1.663996696472168,-1.5342996393195172,1.6235220432281494,-0.044905964528219044
1.6744736433029175,-1.630824705163473,-1.6644917726516724,-1.5342188638499756,1.6238796710968018,-0.04510480562318975
1.6820170879364014,-1.6302606068053187,-1.6654441356658936,-1.5341719847968598,1.6244980096817017,-0.04525882402528936
1.68670654296875,-1.630118032495016,-1.6659239530563354,-1.5341139932027836,1.624799370765686,-0.04539043108095342
1.6904501914978027,-1.6300226650633753,-1.6663684844970703,-1.5340657208910962,1.624933123588562,-0.045415703450338185
1.6957889795303345,-1.6296950779356898,-1.6670565605163574,-1.5340464276126404,1.6250245571136475,-0.04555684724916631
1.7010630369186401,-1.6293508015074671,-1.6677721738815308,-1.534059566711523,1.6250364780426025,-0.04565412202943975
1.7042256593704224,-1.6292797527708949,-1.6681188344955444,-1.534010426407196,1.625075101852417,-0.045756165181295216
1.7079675197601318,-1.629012247125143,-1.6685150861740112,-1.5340266984752198,1.6250661611557007,-0.046148125325338185
1.7109973430633545,-1.6287528477110804,-1.6688100099563599,-1.5339983154884358,1.6250897645950317,-0.046538654957906544
1.7145471572875977,-1.6284362278380335,-1.6692509651184082,-1.5339983266643067,1.6252559423446655,-0.04723960558046514
1.7186553478240967,-1.6278311214842738,-1.6698797941207886,-1.5340028566173096,1.6253564357757568,-0.048214260731832326
1.7242628335952759,-1.6265021763243617,-1.6709994077682495,-1.5340238374522706,1.6254013776779175,-0.049629036580221
1.729757308959961,-1.624922891656393,-1.672303318977356,-1.5340120320073147,1.6256166696548462,-0.05104381242860967
1.7338813543319702,-1.623653074304098,-1.6734132766723633,-1.5340238374522706,1.6256344318389893,-0.05198556581606084
1.739922046661377,-1.6219574413695277,-1.6749522686004639,-1.5339864169112225,1.6256476640701294,-0.053280178700582326
1.7433303594589233,-1.6210376224913539,-1.6758205890655518,-1.5339459528080006,1.6257297992706299,-0.05388480821718389
1.749801754951477,-1.6193558178343714,-1.677583932876587,-1.5339983490160485,1.6257027387619019,-0.05482370058168584
1.755176067352295,-1.617958208123678,-1.6792222261428833,-1.5338826675764103,1.6257059574127197,-0.055367294942037404
1.7641915082931519,-1.615920206109518,-1.682368516921997,-1.5333831843784829,1.6254647970199585,-0.056281391774312794
1.7699096202850342,-1.6147095165648402,-1.6846035718917847,-1.5328823377243062,1.6253875494003296,-0.05671292940248662
1.7739595174789429,-1.6139699421324671,-1.686196208000183,-1.5323214654675503,1.6252185106277466,-0.056979004536763966
1.7795071601867676,-1.6129971943297328,-1.6884207725524902,-1.5315021325698872,1.625119924545288,-0.0574267546283167
1.7865655422210693,-1.6118923626341761,-1.691051721572876,-1.530417614882328,1.6249197721481323,-0.05791169801820928
1.7898837327957153,-1.6113516292967738,-1.6921391487121582,-1.5298971098712464,1.6249048709869385,-0.0580828825580042
1.79550039768219,-1.6104871235289515,-1.6937062740325928,-1.5292771731368084,1.6248490810394287,-0.05827314058412725
1.8031741380691528,-1.6093675098814906,-1.6951416730880737,-1.5285445724478741,1.6247962713241577,-0.05837613741029912
1.808109998703003,-1.608595987359518,-1.695923089981079,-1.5281800416162987,1.6248685121536255,-0.058379475270406544
1.8148897886276245,-1.6075598202147425,-1.696694254875183,-1.5279145699790497,1.6249433755874634,-0.05846101442445928
1.821786880493164,-1.6065226993956507,-1.6971840858459473,-1.527780820881464,1.6250990629196167,-0.05844480196108037
1.8291219472885132,-1.6054579220213832,-1.6975831985473633,-1.5277014535716553,1.6252752542495728,-0.05835849443544561
1.8361363410949707,-1.6045495472350062,-1.6977771520614624,-1.5276068460992356,1.6254327297210693,-0.058355156575338185
1.8427830934524536,-1.6036864719786585,-1.6978371143341064,-1.5276458536139508,1.6255102157592773,-0.05824453035463506
1.850020170211792,-1.602978845635885,-1.697823405265808,-1.527666800921299,1.6256314516067505,-0.05798560777773076
1.8571445941925049,-1.6023789844908656,-1.6978802680969238,-1.5276368793896218,1.6257133483886719,-0.05788165727724248
